opportunity_id,lead_id,customer_id,opportunity_created_date,stage,annual_contract_value,close_date,sales_owner
O00045,L00149,C0106,6/13/2025,Closed Won,74400,9/16/2025,Taylor Jones
O00046,L00150,,7/25/2025,Discovery,10800,,Riley Gupta
O00047,L00156,,4/2/2025,Proposal,28800,,Quinn Jones
O00048,L00157,,8/3/2026,Proposal,120000,,Reese Ibrahim
O00049,L00158,,2/6/2026,Discovery,120000,,Jordan Ibrahim
O00050,L00159,,11/11/2025,Closed Lost,120000,2/1/2026,Casey Howard
O00051,L00163,,6/22/2025,Closed Lost,120000,9/5/2025,Avery Ibrahim
O00052,L00174,C0227,10/12/2025,Closed Won,28800,2/4/2026,Jordan Evans
O00053,L00185,C0137,5/24/2026,Closed Won,74400,8/22/2026,Casey Chen
O00054,L00187,,7/24/2026,Discovery,28800,,Cameron Brooks
O00055,L00190,,7/19/2025,Closed Lost,28800,9/10/2025,Quinn Gupta
O00056,L00192,C0108,3/1/2025,Closed Won,28800,5/5/2025,Casey Gupta
O00057,L00197,,11/25/2025,Discovery,10800,,Taylor Gupta
O00058,L00199,C0126,7/21/2026,Closed Won,10800,10/5/2026,Reese Foster
O00059,L00201,,7/21/2026,Discovery,120000,,Quinn Ibrahim
O00060,L00208,C0171,1/19/2026,Closed Won,28800,3/11/2026,Riley Brooks
O00061,L00210,,12/7/2025,Proposal,28800,,Jordan Ibrahim
O00062,L00212,,8/16/2026,Discovery,10800,,Jordan Diaz
O00063,L00214,C0144,7/20/2026,Closed Won,28800,8/28/2026,Parker Chen
O00064,L00215,C0282,10/13/2025,Closed Won,10800,11/3/2025,Quinn Diaz
O00065,L00216,,2/25/2025,Discovery,120000,,Cameron Adams
O00066,L00217,C0053,4/4/2026,Closed Won,28800,6/11/2026,Casey Brooks
O00067,L00218,C0052,7/23/2026,Closed Won,120000,10/19/2026,Jordan Diaz
O00068,L00224,C0294,7/18/2025,Closed Won,28800,8/15/2025,Taylor Ibrahim
O00069,L00227,,2/6/2026,Closed Lost,28800,5/11/2026,Taylor Diaz
O00070,L00237,C0100,3/1/2025,Closed Won,120000,5/8/2025,Taylor Foster
O00071,L00239,,8/12/2026,Closed Lost,10800,11/20/2026,Morgan Foster
O00072,L00247,C0100,2/26/2025,Closed Won,74400,4/7/2025,Morgan Gupta
O00073,L00248,,8/24/2025,Closed Lost,10800,11/29/2025,Taylor Foster
O00074,L00249,C0031,10/19/2025,Closed Won,28800,11/21/2025,Casey Ibrahim
O00075,L00250,,2/28/2025,Closed Lost,120000,6/25/2025,Cameron Ibrahim
O00076,L00251,,3/8/2026,Closed Lost,120000,6/6/2026,Parker Evans
O00077,L00252,,7/16/2026,Discovery,10800,,Quinn Howard
O00078,L00259,,6/9/2026,Discovery,28800,,Avery Jones
O00079,L00260,,4/26/2025,Discovery,120000,,Jordan Ibrahim
O00080,L00262,,10/13/2025,Closed Lost,74400,1/30/2026,Quinn Howard
O00081,L00264,C0073,3/21/2026,Closed Won,10800,6/20/2026,Reese Howard
O00082,L00267,C0054,8/15/2025,Closed Won,120000,11/1/2025,Reese Diaz
O00083,L00269,,4/4/2026,Closed Lost,74400,5/28/2026,Parker Foster
O00084,L00270,C0022,4/30/2026,Closed Won,28800,7/24/2026,Morgan Jones
O00085,L00276,C0241,3/22/2026,Closed Won,28800,4/18/2026,Avery Brooks
O00086,L00278,,11/7/2025,Closed Lost,120000,12/23/2025,Jordan Evans
O00087,L00279,,6/24/2025,Discovery,120000,,Quinn Jones
O00088,L00282,C0161,5/3/2026,Closed Won,120000,8/11/2026,Quinn Howard
O00089,L00283,C0180,7/18/2025,Closed Won,120000,10/14/2025,Reese Ibrahim
O00090,L00284,,11/11/2025,Closed Lost,120000,2/2/2026,Taylor Jones
O00091,L00285,,3/10/2025,Closed Lost,74400,6/2/2025,Parker Diaz
O00092,L00296,,5/17/2025,Closed Lost,74400,9/9/2025,Casey Adams
O00093,L00297,,6/9/2025,Discovery,10800,,Casey Howard
O00094,L00301,C0049,11/28/2025,Closed Won,74400,1/8/2026,Cameron Ibrahim
O00095,L00323,,9/11/2025,Closed Lost,10800,12/21/2025,Avery Howard
O00096,L00331,,5/22/2026,Closed Lost,28800,7/12/2026,Casey Chen
O00097,L00334,,7/2/2026,Closed Lost,120000,8/14/2026,Morgan Diaz
O00098,L00335,C0045,5/28/2026,Closed Won,120000,7/22/2026,Quinn Chen
O00099,L00336,,5/10/2025,Discovery,74400,,Cameron Howard
O00100,L00339,C0014,8/4/2025,Closed Won,10800,11/14/2025,Riley Adams
O00101,L00340,C0188,2/24/2025,Closed Won,10800,5/4/2025,Quinn Howard
O00102,L00347,,10/11/2025,Proposal,74400,,Casey Jones
O00103,L00350,,12/18/2025,Closed Lost,28800,2/5/2026,Casey Diaz
O00104,L00355,C0296,7/5/2026,Closed Won,120000,10/6/2026,Morgan Ibrahim
O00105,L00369,,6/6/2026,Closed Lost,10800,7/14/2026,Parker Diaz
O00106,L00371,C0197,3/10/2026,Closed Won,28800,5/30/2026,Parker Diaz
O00107,L00373,,10/15/2025,Closed Lost,120000,1/13/2026,Riley Foster
O00108,L00375,,5/10/2025,Discovery,28800,,Taylor Adams
O00109,L00376,C0229,9/5/2026,Closed Won,28800,12/1/2026,Casey Adams
O00110,L00383,C0180,6/18/2026,Closed Won,120000,8/7/2026,Taylor Brooks
O00111,L00385,C0156,3/8/2025,Closed Won,74400,6/10/2025,Morgan Brooks
O00112,L00388,,8/16/2025,Closed Lost,10800,10/3/2025,Casey Chen
O00113,L00389,,8/17/2025,Discovery,120000,,Riley Evans
O00114,L00398,C0082,8/4/2025,Closed Won,28800,9/20/2025,Jordan Gupta
O00115,L00401,,8/17/2026,Proposal,120000,,Quinn Ibrahim
O00116,L00402,C0285,5/27/2025,Closed Won,120000,9/11/2025,Avery Adams
O00117,L00404,,7/30/2026,Closed Lost,120000,10/2/2026,Riley Chen
O00118,L00405,,10/29/2025,Closed Lost,74400,1/13/2026,Reese Foster
O00119,L00412,C0054,4/22/2026,Closed Won,120000,7/1/2026,Jordan Jones
O00120,L00415,C0292,1/29/2025,Closed Won,120000,5/14/2025,Quinn Evans
O00121,L00416,C0219,3/6/2025,Closed Won,10800,6/18/2025,Casey Gupta
O00122,L00420,C0286,6/27/2026,Closed Won,74400,8/11/2026,Riley Brooks
O00123,L00421,C0135,7/13/2025,Closed Won,28800,10/28/2025,Riley Gupta
O00124,L00426,C0138,7/22/2025,Closed Won,74400,11/17/2025,Taylor Brooks
O00125,L00427,,5/13/2025,Closed Lost,28800,9/3/2025,Avery Foster
O00126,L00429,C0140,5/30/2025,Closed Won,10800,7/6/2025,Reese Chen
O00127,L00430,,9/10/2025,Proposal,10800,,Casey Chen
O00128,L00435,C0291,9/15/2025,Closed Won,10800,1/5/2026,Jordan Jones
O00129,L00436,,3/5/2026,Closed Lost,120000,3/29/2026,Cameron Brooks
O00130,L00440,C0155,12/17/2025,Closed Won,10800,3/3/2026,Quinn Ibrahim
O00131,L00445,,7/13/2026,Closed Lost,10800,10/4/2026,Jordan Jones
O00132,L00451,C0077,5/24/2026,Closed Won,28800,8/9/2026,Morgan Jones
O00133,L00452,C0009,5/3/2026,Closed Won,10800,7/8/2026,Quinn Brooks
O00134,L00454,C0232,6/25/2025,Closed Won,74400,7/17/2025,Jordan Evans
O00135,L00455,,5/17/2026,Closed Lost,28800,6/9/2026,Parker Foster
O00136,L00460,,11/4/2025,Closed Lost,10800,11/26/2025,Cameron Chen
O00137,L00465,,3/7/2026,Discovery,120000,,Morgan Foster
O00138,L00466,,6/23/2025,Closed Lost,120000,7/29/2025,Cameron Adams
O00139,L00470,,2/8/2026,Discovery,28800,,Casey Jones
O00140,L00480,C0289,4/28/2025,Closed Won,28800,7/22/2025,Taylor Gupta
O00141,L00485,,7/24/2025,Proposal,120000,,Taylor Adams
O00142,L00490,,7/13/2026,Closed Lost,120000,10/9/2026,Cameron Chen
O00143,L00491,,4/21/2026,Closed Lost,10800,8/11/2026,Cameron Ibrahim
O00144,L00492,,9/27/2025,Discovery,28800,,Riley Gupta
O00145,L00493,C0224,1/20/2026,Closed Won,120000,4/2/2026,Morgan Brooks
O00146,L00495,,6/5/2025,Discovery,120000,,Morgan Brooks
O00147,L00503,,6/12/2025,Discovery,28800,,Jordan Adams
O00148,L00510,,4/18/2026,Discovery,120000,,Quinn Jones
O00149,L00511,,11/9/2025,Closed Lost,120000,12/2/2025,Taylor Howard
O00150,L00517,,9/30/2025,Closed Lost,10800,11/1/2025,Quinn Gupta
O00151,L00520,C0207,10/21/2025,Closed Won,10800,12/10/2025,Avery Evans
O00152,L00521,,3/8/2025,Discovery,120000,,Reese Adams
O00153,L00527,,6/21/2025,Discovery,74400,,Riley Diaz
O00154,L00528,,9/24/2025,Proposal,10800,,Taylor Adams
O00155,L00536,,8/1/2026,Closed Lost,28800,10/30/2026,Parker Howard
O00156,L00541,,10/7/2025,Discovery,120000,,Cameron Evans
O00157,L00547,,8/28/2025,Discovery,28800,,Riley Chen
O00158,L00549,C0004,4/30/2026,Closed Won,28800,7/27/2026,Avery Ibrahim
O00159,L00556,C0134,4/30/2025,Closed Won,74400,6/19/2025,Avery Foster
O00160,L00564,,8/28/2025,Closed Lost,74400,12/2/2025,Riley Chen
O00161,L00570,C0300,5/6/2026,Closed Won,74400,7/25/2026,Riley Jones
O00162,L00589,C0125,4/27/2025,Closed Won,10800,6/14/2025,Cameron Adams
O00163,L00591,C0278,7/10/2025,Closed Won,120000,9/1/2025,Avery Evans
O00164,L00592,,5/6/2025,Closed Lost,10800,6/5/2025,Parker Howard
O00165,L00593,,4/7/2026,Discovery,28800,,Riley Howard
O00166,L00598,C0011,6/6/2025,Closed Won,10800,9/23/2025,Jordan Diaz
O00167,L00599,,4/10/2025,Closed Lost,120000,5/20/2025,Avery Howard
O00168,L00601,C0002,4/4/2025,Closed Won,120000,6/1/2025,Avery Ibrahim
O00169,L00602,,7/31/2025,Closed Lost,74400,11/18/2025,Avery Evans
O00170,L00607,C0125,4/30/2026,Closed Won,74400,5/28/2026,Reese Foster
O00171,L00612,,2/22/2026,Proposal,28800,,Avery Brooks
O00172,L00619,,6/16/2026,Proposal,120000,,Morgan Diaz
O00173,L00622,,1/26/2026,Discovery,74400,,Jordan Jones
O00174,L00627,C0239,8/27/2025,Closed Won,10800,11/14/2025,Morgan Diaz
O00175,L00630,,5/17/2025,Proposal,28800,,Avery Diaz
O00176,L00635,C0296,8/14/2025,Closed Won,74400,11/8/2025,Parker Brooks
O00177,L00640,,7/1/2025,Discovery,74400,,Morgan Adams
O00178,L00649,C0204,5/13/2026,Closed Won,28800,7/15/2026,Quinn Evans
O00179,L00653,C0108,4/2/2026,Closed Won,74400,4/26/2026,Avery Gupta
O00180,L00654,C0029,8/4/2026,Closed Won,120000,10/29/2026,Jordan Diaz
O00181,L00655,C0224,8/24/2025,Closed Won,120000,11/27/2025,Casey Evans
O00182,L00656,,4/9/2025,Proposal,74400,,Jordan Foster
O00183,L00660,,8/29/2025,Proposal,10800,,Casey Evans
O00184,L00665,,7/11/2026,Closed Lost,120000,9/7/2026,Reese Diaz
O00185,L00667,,5/14/2026,Closed Lost,28800,8/3/2026,Morgan Brooks
O00186,L00670,,7/2/2025,Closed Lost,74400,9/3/2025,Riley Gupta
O00187,L00683,,9/7/2025,Closed Lost,28800,10/25/2025,Quinn Ibrahim
O00188,L00685,C0032,11/18/2025,Closed Won,10800,3/15/2026,Avery Gupta
O00189,L00687,,6/9/2026,Closed Lost,10800,6/29/2026,Jordan Adams
O00190,L00691,,7/30/2026,Closed Lost,28800,10/31/2026,Casey Ibrahim
O00191,L00696,C0028,6/10/2026,Closed Won,74400,8/4/2026,Jordan Foster
O00192,L00701,,7/27/2025,Discovery,74400,,Casey Adams
O00193,L00704,,12/20/2025,Closed Lost,74400,4/18/2026,Morgan Jones
O00194,L00708,,6/4/2025,Proposal,120000,,Reese Diaz
O00195,L00710,,8/23/2025,Closed Lost,10800,11/8/2025,Quinn Howard
O00196,L00711,,4/5/2025,Discovery,28800,,Cameron Brooks
O00197,L00715,C0197,6/15/2025,Closed Won,10800,7/19/2025,Avery Gupta
O00198,L00718,,5/20/2025,Discovery,10800,,Taylor Chen
O00199,L00720,,2/11/2025,Discovery,74400,,Parker Jones
O00200,L00721,C0141,7/12/2026,Closed Won,74400,9/29/2026,Avery Jones
O00201,L00730,,5/1/2025,Closed Lost,10800,8/23/2025,Cameron Chen
O00202,L00743,,2/6/2026,Discovery,120000,,Reese Ibrahim
O00203,L00746,C0068,6/16/2025,Closed Won,28800,7/23/2025,Quinn Brooks
O00204,L00747,,6/4/2026,Closed Lost,10800,8/7/2026,Avery Jones
O00205,L00749,,3/25/2026,Discovery,10800,,Cameron Brooks
O00206,L00750,C0152,2/28/2025,Closed Won,28800,5/14/2025,Jordan Adams
O00207,L00751,,3/22/2026,Proposal,28800,,Riley Chen
O00208,L00752,C0290,10/18/2025,Closed Won,74400,1/28/2026,Quinn Howard
O00209,L00757,,9/4/2026,Closed Lost,28800,9/28/2026,Quinn Chen
O00210,L00763,,2/6/2026,Discovery,10800,,Taylor Howard
O00211,L00767,,12/29/2025,Discovery,10800,,Casey Brooks
O00212,L00768,C0005,3/19/2026,Closed Won,10800,6/19/2026,Riley Ibrahim
O00213,L00773,,3/14/2026,Discovery,10800,,Morgan Chen
O00214,L00777,C0027,3/19/2025,Closed Won,28800,5/5/2025,Reese Chen
O00215,L00778,C0150,1/27/2026,Closed Won,74400,5/13/2026,Casey Brooks
O00216,L00788,,4/4/2025,Proposal,74400,,Casey Evans
O00217,L00791,C0202,2/19/2026,Closed Won,120000,6/9/2026,Quinn Brooks
O00218,L00792,,4/30/2025,Proposal,120000,,Avery Foster
O00219,L00793,C0091,3/7/2025,Closed Won,120000,5/26/2025,Avery Foster
O00220,L00806,,5/20/2025,Closed Lost,10800,6/10/2025,Parker Jones
O00221,L00809,,4/1/2025,Closed Lost,120000,5/3/2025,Quinn Diaz
O00222,L00811,,10/13/2025,Closed Lost,28800,12/17/2025,Parker Howard
O00223,L00815,C0046,4/6/2025,Closed Won,28800,7/2/2025,Quinn Evans
O00224,L00818,,4/27/2025,Discovery,28800,,Riley Jones
O00225,L00820,,7/10/2025,Discovery,74400,,Cameron Foster
O00226,L00826,C0018,4/3/2025,Closed Won,74400,5/4/2025,Jordan Jones
O00227,L00839,C0164,3/29/2026,Closed Won,74400,4/26/2026,Casey Jones
O00228,L00840,C0196,12/12/2025,Closed Won,28800,1/5/2026,Jordan Evans
O00229,L00842,,5/2/2026,Discovery,28800,,Cameron Brooks
O00230,L00848,,11/12/2025,Closed Lost,28800,12/26/2025,Avery Adams
O00231,L00850,,1/20/2026,Closed Lost,28800,5/13/2026,Parker Jones
O00232,L00853,,3/9/2026,Closed Lost,28800,6/23/2026,Riley Brooks
O00233,L00854,,9/11/2025,Discovery,10800,,Jordan Jones
O00234,L00855,,7/4/2026,Discovery,74400,,Quinn Adams
O00235,L00860,,9/27/2025,Discovery,120000,,Morgan Chen
O00236,L00863,C0154,3/19/2025,Closed Won,10800,7/8/2025,Taylor Gupta
O00237,L00864,C0293,2/19/2026,Closed Won,120000,6/4/2026,Riley Howard
O00238,L00874,C0078,8/31/2025,Closed Won,28800,10/11/2025,Morgan Gupta
O00239,L00876,,4/24/2026,Proposal,120000,,Riley Howard
O00240,L00877,C0080,3/23/2025,Closed Won,120000,7/15/2025,Parker Evans
O00241,L00879,,4/25/2026,Proposal,74400,,Morgan Foster
O00242,L00880,C0026,4/19/2026,Closed Won,10800,5/28/2026,Parker Evans
O00243,L00882,C0049,7/7/2025,Closed Won,74400,9/14/2025,Riley Diaz
O00244,L00894,C0057,5/16/2025,Closed Won,10800,7/31/2025,Parker Chen
O00245,L00896,,2/24/2026,Discovery,10800,,Taylor Chen
O00246,L00900,C0143,6/19/2026,Closed Won,28800,8/13/2026,Casey Evans
O00247,L00903,,9/12/2025,Proposal,28800,,Reese Adams
O00248,L00907,,5/27/2025,Closed Lost,74400,6/24/2025,Reese Gupta
O00249,L00908,,2/10/2026,Closed Lost,120000,5/28/2026,Morgan Howard
O00250,L00912,C0164,4/22/2026,Closed Won,10800,6/12/2026,Cameron Adams
O00251,L00914,,8/22/2026,Closed Lost,74400,11/21/2026,Morgan Foster
O00252,L00917,C0201,5/25/2025,Closed Won,120000,8/8/2025,Taylor Evans
O00253,L00918,,5/8/2026,Closed Lost,120000,8/10/2026,Taylor Ibrahim
O00254,L00924,,10/6/2025,Closed Lost,74400,1/18/2026,Avery Howard
O00255,L00925,C0206,10/29/2025,Closed Won,74400,2/13/2026,Jordan Howard
O00256,L00931,,6/25/2025,Closed Lost,28800,9/1/2025,Avery Howard
O00257,L00943,C0251,7/1/2025,Closed Won,28800,9/29/2025,Avery Ibrahim
O00258,L00945,C0262,11/3/2025,Closed Won,28800,2/27/2026,Avery Jones
O00259,L00947,C0055,10/21/2025,Closed Won,28800,1/15/2026,Taylor Diaz
O00260,L00949,C0148,2/22/2025,Closed Won,28800,3/25/2025,Quinn Brooks
O00261,L00951,C0160,11/30/2025,Closed Won,120000,2/27/2026,Casey Howard
O00262,L00959,,4/1/2025,Proposal,10800,,Riley Jones
O00263,L00961,,7/12/2026,Discovery,74400,,Riley Chen
O00264,L00962,,5/19/2026,Closed Lost,10800,7/2/2026,Casey Adams
O00265,L00963,,1/4/2026,Discovery,74400,,Riley Brooks
O00266,L00964,,5/16/2026,Discovery,28800,,Taylor Chen
O00267,L00967,,7/24/2025,Closed Lost,28800,9/22/2025,Avery Evans
O00268,L00968,C0233,7/27/2026,Closed Won,120000,8/24/2026,Riley Jones
O00269,L00969,,3/10/2026,Discovery,28800,,Casey Chen
O00270,L00977,,7/22/2025,Closed Lost,120000,11/4/2025,Reese Evans
O00271,L00981,,3/25/2025,Closed Lost,120000,5/19/2025,Quinn Evans
O00272,L00984,C0243,8/8/2025,Closed Won,120000,11/15/2025,Parker Brooks
O00273,L00988,C0151,9/15/2025,Closed Won,28800,11/23/2025,Avery Foster
O00274,L00996,,6/4/2026,Closed Lost,74400,7/7/2026,Cameron Gupta
O00275,L00997,,8/10/2026,Discovery,10800,,Taylor Brooks
O00276,L00999,C0019,9/29/2025,Closed Won,74400,11/19/2025,Cameron Adams
O00277,L01004,C0028,4/12/2025,Closed Won,120000,7/7/2025,Jordan Jones
O00278,L01007,C0242,11/8/2025,Closed Won,120000,12/3/2025,Taylor Gupta
O00279,L01011,C0160,10/7/2025,Closed Won,120000,12/16/2025,Reese Chen
O00280,L01013,,10/1/2025,Proposal,28800,,Cameron Brooks
O00281,L01014,,8/1/2025,Discovery,120000,,Reese Gupta
O00282,L01017,C0245,6/20/2026,Closed Won,74400,9/13/2026,Morgan Gupta
O00283,L01018,,1/29/2026,Proposal,10800,,Riley Evans
O00284,L01023,C0228,7/18/2025,Closed Won,74400,10/2/2025,Parker Gupta
O00285,L01025,C0044,8/25/2025,Closed Won,74400,11/15/2025,Riley Jones
O00286,L01026,C0178,4/29/2026,Closed Won,74400,7/16/2026,Casey Brooks
O00287,L01029,,6/26/2026,Proposal,74400,,Avery Foster
O00288,L01030,,2/1/2026,Closed Lost,120000,3/13/2026,Casey Gupta
O00289,L01036,C0127,2/16/2026,Closed Won,120000,3/24/2026,Cameron Foster
O00290,L01037,,9/3/2025,Proposal,28800,,Parker Diaz
O00291,L01039,,6/7/2026,Proposal,28800,,Riley Diaz
O00292,L01040,,9/9/2025,Proposal,120000,,Reese Chen
O00293,L01043,C0147,4/11/2025,Closed Won,74400,8/4/2025,Casey Evans
O00294,L01044,,6/19/2025,Discovery,120000,,Parker Jones
O00295,L01045,,10/6/2025,Proposal,28800,,Cameron Diaz
O00296,L01047,,10/5/2025,Closed Lost,74400,11/11/2025,Taylor Diaz
O00297,L01056,C0193,8/6/2025,Closed Won,10800,9/16/2025,Avery Howard
O00298,L01057,,3/18/2025,Closed Lost,74400,6/27/2025,Riley Evans
O00299,L01058,C0205,3/4/2025,Closed Won,120000,5/17/2025,Riley Jones
O00300,L01065,,5/12/2026,Discovery,74400,,Jordan Ibrahim
O00301,L01072,C0108,12/23/2025,Closed Won,28800,4/21/2026,Parker Evans
O00302,L01077,C0171,3/22/2025,Closed Won,120000,5/19/2025,Casey Foster
O00303,L01080,C0146,4/2/2026,Closed Won,10800,7/8/2026,Cameron Diaz
O00304,L01093,C0227,4/17/2025,Closed Won,120000,6/8/2025,Riley Foster
O00305,L01102,,11/9/2025,Proposal,28800,,Morgan Foster
O00306,L01108,C0209,8/2/2025,Closed Won,120000,9/8/2025,Jordan Adams
O00307,L01115,C0127,8/23/2025,Closed Won,28800,10/28/2025,Quinn Evans
O00308,L01120,C0102,1/19/2026,Closed Won,74400,5/4/2026,Parker Diaz
O00309,L01121,,4/13/2025,Discovery,74400,,Cameron Ibrahim
O00310,L01122,,3/27/2026,Proposal,120000,,Parker Foster
O00311,L01125,C0055,1/15/2026,Closed Won,28800,3/15/2026,Taylor Howard
O00312,L01127,,11/9/2025,Closed Lost,120000,1/8/2026,Jordan Jones
O00313,L01130,,5/17/2026,Discovery,74400,,Avery Howard
O00314,L01131,,3/5/2025,Closed Lost,28800,6/22/2025,Reese Gupta
O00315,L01135,,8/7/2026,Discovery,10800,,Avery Chen
O00316,L01136,C0117,10/17/2025,Closed Won,120000,11/23/2025,Parker Foster
O00317,L01145,,7/6/2026,Proposal,28800,,Casey Diaz
O00318,L01148,C0015,11/18/2025,Closed Won,28800,1/10/2026,Casey Adams
O00319,L01151,,3/31/2025,Proposal,28800,,Avery Gupta
O00320,L01154,C0285,12/5/2025,Closed Won,120000,2/11/2026,Jordan Chen
O00321,L01156,,8/9/2026,Proposal,74400,,Casey Brooks
O00322,L01159,,10/12/2025,Discovery,74400,,Morgan Evans
O00323,L01162,C0159,4/22/2026,Closed Won,74400,7/4/2026,Parker Jones
O00324,L01163,,1/9/2026,Closed Lost,10800,2/19/2026,Riley Diaz
O00325,L01164,,11/12/2025,Proposal,74400,,Cameron Gupta
O00326,L01166,C0156,5/5/2025,Closed Won,120000,6/23/2025,Taylor Howard
O00327,L01172,,1/14/2026,Closed Lost,74400,3/22/2026,Avery Foster
O00328,L01173,,2/5/2025,Proposal,10800,,Casey Howard
O00329,L01178,C0101,10/13/2025,Closed Won,120000,1/13/2026,Riley Jones
O00330,L01187,,5/10/2025,Discovery,120000,,Quinn Evans
O00331,L01189,C0154,2/18/2025,Closed Won,74400,6/1/2025,Casey Brooks
O00332,L01193,C0100,3/19/2025,Closed Won,74400,6/15/2025,Avery Howard
O00333,L01194,C0251,4/17/2025,Closed Won,28800,7/5/2025,Casey Jones
O00334,L01197,,7/10/2026,Proposal,74400,,Parker Brooks
O00335,L01198,,8/17/2026,Proposal,10800,,Cameron Brooks
O00336,L01200,C0023,7/24/2025,Closed Won,120000,11/15/2025,Casey Gupta
